Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat27,5.308949453428017,0.95,0.6719096274180069,5.308949453428017,0.96,0.6719096282704612,5.308949453428017,0.96,0.6719096293181958,5.308949453428017,0.95,0.6719096267474303,5.308949453428017,0.95,0.6719096269725217
Pat29,5.293565553696725,0.94,0.2775385551803271,5.293565553696725,0.94,0.277538554134669,5.293565553696725,0.93,0.2775385542828578,5.293565553696725,0.94,0.2775385521282018,5.293565553696725,0.94,0.2775385558686358
Pat30,5.261908434514934,0.95,0.5512513074119705,5.261908434514934,0.95,0.5512513085087369,5.261908434514934,0.95,0.5512513031750875,5.261908434514934,0.95,0.5512513120747137,5.261908434514934,0.95,0.5512513087850854
Pat31,4.887982154469014,0.96,0.6467970793138023,4.887982154469014,0.96,0.646797077830408,4.887982154469014,0.96,0.6467970840615566,4.887982154469014,0.96,0.6467970743997851,4.887982154469014,0.96,0.6467970779780525
Pat32,4.825438535383637,0.94,0.7176567033077071,4.825438535383637,0.97,0.7176567051467896,4.822958581249255,0.96,0.7176567062405992,4.825438535383637,0.97,0.7176566976893544,4.825438535383637,0.97,0.7176567027506593
Pat33,4.995202440303844,0.94,0.42833581574755536,4.995202440303844,0.94,0.4283358130962166,4.995202440303844,0.94,0.4283358192523723,4.995202440303844,0.94,0.42833581264009035,4.995202440303844,0.95,0.42833581338944526
Pat34,5.131563579440841,0.95,0.6864316414310394,5.131563579440841,0.96,0.686431642596241,5.131563579440841,0.97,0.6864316430021097,5.131563579440841,0.97,0.6864316361378636,5.131563579440841,0.97,0.6864316428881928
Pat35,4.853644510518191,0.96,0.6558854039283304,4.853644510518191,0.96,0.655885399942817,4.853644510518191,0.96,0.6558854029634306,4.853644510518191,0.96,0.6558853986655824,4.853644510518191,0.96,0.6558854012994971
Pat36,5.255981207510332,0.96,0.6132550534042284,5.255981207510332,0.96,0.6132550529618273,5.255981207510332,0.96,0.6132550543337004,5.255981207510332,0.96,0.6132550536537773,5.255981207510332,0.96,0.6132550549613934
Pat38,5.018433524037771,0.94,0.6015740132733379,5.018433524037771,0.95,0.6015740137594829,5.018433524037771,0.94,0.6015740127707563,5.018433524037771,0.94,0.6015740222254734,5.018433524037771,0.94,0.601574013804924
