Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat8,0.7701434702494774,5.179328877248141,0.92,0.7701434716588463,5.179328877248141,0.96,0.770143469295682,5.179328877248141,0.96,0.7701434703475076,5.179328877248141,0.96,0.7701434718107175,5.179328877248141,0.96
Pat9,0.7758968270206384,5.30766935978731,0.94,0.7758968261065411,5.30766935978731,0.95,0.7758968305293505,5.30766935978731,0.95,0.7758968266724044,5.30766935978731,0.96,0.7758968266785706,5.30766935978731,0.95
Pat11,0.7408649022565298,5.359451595399618,0.95,0.7408649028833301,5.359451595399618,0.95,0.7408649031282373,5.359451595399618,0.94,0.7408649082329,5.359451595399618,0.94,0.7408649025963225,5.359451595399618,0.95
Pat13,0.680630894865655,5.0310489177846875,0.96,0.6806308942730731,5.0310489177846875,0.96,0.6806308943957478,5.0310489177846875,0.96,0.680630902577167,5.0310489177846875,0.96,0.6806308956500298,5.0310489177846875,0.96
Pat14,0.6514669659924259,5.13978204140322,0.93,0.6514669640301431,5.13978204140322,0.96,0.6514669738743092,5.13978204140322,0.96,0.6514669609872074,5.13978204140322,0.96,0.6514669649862611,5.13978204140322,0.96
Pat15,0.6704102215467608,5.319390504522314,0.93,0.670410220367282,5.319390504522314,0.94,0.6704102226718823,5.319390504522314,0.94,0.6704102198193136,5.319390504522314,0.94,0.670410221162177,5.319390504522314,0.94
Pat16,-0.00884932469297682,0.8211805755780596,0.95,-0.00884932599525434,0.8211805755780596,0.94,-0.008849326936019511,0.8211805755780596,0.91,-0.008849330419405036,0.8211805755780596,0.92,-0.008849327733236894,0.8211805755780596,0.95
Pat17,0.7284602436620734,5.180073076683622,0.93,0.7284602445696141,5.180073076683622,0.96,0.7284602426369702,5.180073076683622,0.96,0.7284602447966657,5.180073076683622,0.97,0.7284602453356982,5.180073076683622,0.97
Pat19,0.5957758830474927,5.004952263261298,0.94,0.5957758834371724,5.004952263261298,0.94,0.5957758811904015,5.004952263261298,0.94,0.5957758825014822,5.004952263261298,0.94,0.5957758821422867,5.004952263261298,0.94
Pat21,0.56259196585282,5.269376048611779,0.96,0.5625919651712842,5.269376048611779,0.96,0.56259196532291,5.269376048611779,0.95,0.5625919648533271,5.269376048611779,0.95,0.562591965979643,5.269376048611779,0.96
Pat23,0.648952099842104,5.457910426192415,0.95,0.6489520996142345,5.457910426192415,0.94,0.6489520979104277,5.457910426192415,0.95,0.6489520920062195,5.457910426192415,0.95,0.6489521000596816,5.457910426192415,0.95
Pat24,0.7387969958218977,5.172342784739423,0.96,0.738796994825695,5.172342784739423,0.96,0.7387969937849278,5.172342784739423,0.96,0.7387969971761557,5.172342784739423,0.96,0.7387969957303921,5.172342784739423,0.96
Pat25,0.5777061815173871,5.232599013333032,0.93,0.5777061824642012,5.232599013333032,0.95,0.5777061814111789,5.232599013333032,0.95,0.5777061867494664,5.232599013333032,0.95,0.577706182966218,5.232599013333032,0.95
Pat27,0.6719096274180069,5.308949453428017,0.95,0.6719096282704612,5.308949453428017,0.96,0.6719096293181958,5.308949453428017,0.96,0.6719096267474303,5.308949453428017,0.95,0.6719096269725217,5.308949453428017,0.95
Pat29,0.2775385551803271,5.293565553696725,0.94,0.277538554134669,5.293565553696725,0.94,0.2775385542828578,5.293565553696725,0.93,0.2775385521282018,5.293565553696725,0.94,0.2775385558686358,5.293565553696725,0.94
Pat30,0.5512513074119705,5.261908434514934,0.95,0.5512513085087369,5.261908434514934,0.95,0.5512513031750875,5.261908434514934,0.95,0.5512513120747137,5.261908434514934,0.95,0.5512513087850854,5.261908434514934,0.95
Pat31,0.6467970793138023,4.887982154469014,0.96,0.646797077830408,4.887982154469014,0.96,0.6467970840615566,4.887982154469014,0.96,0.6467970743997851,4.887982154469014,0.96,0.6467970779780525,4.887982154469014,0.96
Pat32,0.7176567033077071,4.825438535383637,0.94,0.7176567051467896,4.825438535383637,0.97,0.7176567062405992,4.822958581249255,0.96,0.7176566976893544,4.825438535383637,0.97,0.7176567027506593,4.825438535383637,0.97
Pat33,0.42833581574755536,4.995202440303844,0.94,0.4283358130962166,4.995202440303844,0.94,0.4283358192523723,4.995202440303844,0.94,0.42833581264009035,4.995202440303844,0.94,0.42833581338944526,4.995202440303844,0.95
Pat34,0.6864316414310394,5.131563579440841,0.95,0.686431642596241,5.131563579440841,0.96,0.6864316430021097,5.131563579440841,0.97,0.6864316361378636,5.131563579440841,0.97,0.6864316428881928,5.131563579440841,0.97
Pat35,0.6558854039283304,4.853644510518191,0.96,0.655885399942817,4.853644510518191,0.96,0.6558854029634306,4.853644510518191,0.96,0.6558853986655824,4.853644510518191,0.96,0.6558854012994971,4.853644510518191,0.96
Pat36,0.6132550534042284,5.255981207510332,0.96,0.6132550529618273,5.255981207510332,0.96,0.6132550543337004,5.255981207510332,0.96,0.6132550536537773,5.255981207510332,0.96,0.6132550549613934,5.255981207510332,0.96
Pat38,0.6015740132733379,5.018433524037771,0.94,0.6015740137594829,5.018433524037771,0.95,0.6015740127707563,5.018433524037771,0.94,0.6015740222254734,5.018433524037771,0.94,0.601574013804924,5.018433524037771,0.94
Pat40,-0.08397644391853121,1.1283816802447748,0.94,-0.08397644056726182,1.1283816802447748,0.94,-0.08397645041660515,1.1283816802447748,0.93,-0.08397644048567719,1.1283816802447748,0.94,-0.08397644417636425,1.1283816802447748,0.94
Pat41,0.5206499496250689,5.040724369953653,0.93,0.5206499488343367,5.040724369953653,0.95,0.5206499552723481,5.040724369953653,0.95,0.5206499481741255,5.040724369953653,0.95,0.5206499512043397,5.040724369953653,0.95
Pat42,0.6897274677821795,4.8506445124648145,0.97,0.6897274685927736,4.8506445124648145,0.97,0.6897274635886556,4.8506445124648145,0.96,0.6897274621312314,4.8506445124648145,0.96,0.6897274631396322,4.8506445124648145,0.97
Pat44,0.5544978933816377,4.98826389048524,0.95,0.5544978936786432,4.98826389048524,0.95,0.5544978934310599,4.98826389048524,0.95,0.5544978835337451,4.98826389048524,0.95,0.5544978985881656,4.98826389048524,0.95
Pat46,0.7889717488402735,5.3615305228493675,0.96,0.7889717477694298,5.3615305228493675,0.97,0.7889717424211888,5.3615305228493675,0.96,0.7889717491531936,5.3615305228493675,0.96,0.7889717490995684,5.3615305228493675,0.96
Pat47,0.46486384110280454,4.757227610061955,0.95,0.46486384307609147,4.757227610061955,0.95,0.46486384641544704,4.757227610061955,0.95,0.46486383485385524,4.757227610061955,0.95,0.46486384115591345,4.757227610061955,0.95
Pat48,0.021210073546951865,5.207781246105791,0.93,0.02121006999151958,5.207781246105791,0.93,0.02121007793368218,5.207781246105791,0.93,0.02121007392004038,5.207781246105791,0.93,0.021210078400123115,5.207781246105791,0.93
Pat49,0.5029404148625518,4.93510995043583,0.95,0.502940410302582,4.93510995043583,0.95,0.5029404133250418,4.93510995043583,0.94,0.5029404195738586,4.93510995043583,0.94,0.5029404139970525,4.93510995043583,0.95
Pat50,0.4748249029877798,5.126125016868936,0.95,0.4748249067001739,5.126125016868936,0.95,0.4748248985498031,5.126125016868936,0.95,0.4748249006287244,5.126125016868936,0.95,0.4748249010336752,5.126125016868936,0.95
Pat51,0.8077119488449618,5.349144278075563,0.96,0.80771195055789,5.349144278075563,0.97,0.8077119491849464,5.349144278075563,0.97,0.8077119509227775,5.349144278075563,0.97,0.8077119496473352,5.349144278075563,0.97
Pat52,0.5701972156936972,5.27860373605542,0.95,0.5701972135940614,5.27860373605542,0.95,0.5701972226772121,5.27860373605542,0.95,0.5701972154976749,5.27860373605542,0.95,0.5701972146415781,5.27860373605542,0.95
Pat54,0.6654219931472536,5.151090231617164,0.95,0.665421995562753,5.151090231617164,0.96,0.6654219946592149,5.151090231617164,0.95,0.665421994861939,5.151090231617164,0.95,0.6654219948634754,5.151090231617164,0.96
Pat57,0.6573702184362484,5.260551914982585,0.95,0.657370214524731,5.260551914982585,0.96,0.6573702189984063,5.260551914982585,0.95,0.657370217754717,5.260551914982585,0.95,0.6573702198075182,5.260551914982585,0.96
Pat58,0.6410321411674095,4.909734768388814,0.95,0.6410321400594647,4.909734768388814,0.96,0.6410321357678451,4.909734768388814,0.95,0.6410321435535478,4.909734768388814,0.96,0.6410321410594305,4.909734768388814,0.96
