mean_nawm,mean_lesion
,0.0
0.357824681067345,0.0
0.3842346022107675,0.0
0.24467564118811552,0.27657718273747967
0.2858490607683158,
0.3386019648491474,0.25194352120161057
0.3186117604977379,0.0
0.26765518488544543,0.22108110248065385
,
,0.0
,0.0
0.3166422461561107,0.0
,
,0.0
,0.0
,0.0
,0.0
0.2946834192423773,0.3154811413403143
,
0.3912448505124518,0.0
0.3142868894535829,0.0
,0.0
,0.0
,0.0
0.3263010835162317,0.23289126286128634
0.3250475267569224,0.0
0.38418662409251364,0.0
0.22805303792229553,0.31174815439997794
,0.0
0.43546876262285206,0.03874121109644572
0.2851364785466192,0.2144465669989586
0.2956501320327209,0.0
0.3108531094911858,0.0
,0.0
,
0.32088205158929267,0.240949575144511
0.22766918256972107,0.3024016797542572
0.4010648086102623,0.0
0.296089392450615,0.32562840836091683
0.357897572723695,0.0
0.2871641039547294,
0.40502303011967367,0.6774099349975586
0.32470901903471105,
0.4577015067995042,0.0
0.34144047760822316,0.0
0.4264387983121037,0.0
,
,0.0
0.523365100292561,0.3678720614039584
,0.0
,
0.33734561237073396,0.30894922837615013
,0.0
,
0.8777120669710528,0.0
,
0.3063807936493098,0.5285057245560412
0.3983701381334095,0.0
,0.0
0.2872200286987751,0.0
,
,0.0
0.22174365698319742,0.0
0.32043616249473666,0.0
0.35869523996216096,0.0
,0.0
,
,0.0
0.40406165186029214,0.33316357319171613
,0.0
,0.0
0.3189254739210822,0.36012771216608724
0.3885053064704842,
,
0.392069939707749,
0.36363325857381046,0.5885803055182193
0.2210867451145672,0.0
,
,0.0
0.2913759819055402,
,0.0
,0.0
,0.0
,0.0
0.4020314511579621,0.39355091413237014
,
0.39293237328151154,
,
,0.0
0.2679326870673045,0.17565273899923672
,
0.3633677888140276,0.0
,0.0
,
,0.0
0.2930260920669373,0.0
,
0.33088598890679155,
